Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://47.img.avito.st/208x156/9421025447.jpg"">","BMW X5, 2005","270 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",695 000 ₽,-,"Московская область, Озёры",https://www.avito.ru/ozery/avtomobili/bmw_x5_2005_1986325876
"<img src=""https://42.img.avito.st/208x156/10663732042.jpg"">","BMW X5, 2007","132 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",792 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2007_2080693186
"<img src=""https://86.img.avito.st/208x156/10780773986.jpg"">","BMW X5, 2020","14 128 км, 3.0 AT (400 л.с.), внедорожник, полный, дизель",9 500 000 ₽,-,"Московская область, г.о. Красногорск",https://www.avito.ru/moskovskaya_oblast_krasnogorsk/avtomobili/bmw_x5_2020_2122665448
"<img src=""https://21.img.avito.st/208x156/10325726821.jpg"">","BMW X5, 2007","137 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Белгородская область, Белгород",https://www.avito.ru/dubovoe/avtomobili/bmw_x5_2007_2062078783
"<img src=""https://64.img.avito.st/208x156/10705631764.jpg"">","BMW X5, 2007","262 019 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",749 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2091749811
"<img src=""https://40.img.avito.st/208x156/10787877640.jpg"">","BMW X5, 2010","Битый, 150 000 км, 3.0 AT (269 л.с.), внедорожник, полный, дизель",250 000 ₽,-,"Тверская область, Конаковский р-н, городское поселение Конаково, Конаково",https://www.avito.ru/konakovo/avtomobili/bmw_x5_2010_2141859032
"<img src=""https://91.img.avito.st/208x156/10482710091.jpg"">","BMW X5, 2013","129 500 км, 4.4 AT (450 л.с.), внедорожник, полный, бензин",2 100 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2013_2106995389
"<img src=""https://55.img.avito.st/208x156/10693962855.jpg"">","BMW X5, 2002","Битый, 315 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",155 555 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2002_2114634715
"<img src=""https://21.img.avito.st/208x156/10484570621.jpg"">","BMW X5, 2007","242 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Республика Дагестан, Махачкала",https://www.avito.ru/mahachkala/avtomobili/bmw_x5_2007_2106551557
"<img src=""https://16.img.avito.st/208x156/10766159716.jpg"">","BMW X5, 2008","248 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 050 000 ₽,-,"Санкт-Петербург, Пушкинский р-н, Пушкин",https://www.avito.ru/sankt-peterburg_pushkin/avtomobili/bmw_x5_2008_2109177529
"<img src=""https://50.img.avito.st/208x156/10639431950.jpg"">","BMW X5, 2011","147 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 350 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2011_2086504458
"<img src=""https://24.img.avito.st/208x156/10731193724.jpg"">","BMW X5, 2016","109 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 790 000 ₽,-,"Краснодарский край, Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2016_2083137265
"<img src=""https://97.img.avito.st/208x156/10735032797.jpg"">","BMW X5, 2017","56 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 700 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2017_1909984217
"<img src=""https://78.img.avito.st/208x156/10769278978.jpg"">","BMW X5, 2008","299 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 100 000 ₽,-,"Республика Татарстан, Нижнекамский р-н, пос. Красный Ключ",https://www.avito.ru/nizhnekamsk/avtomobili/bmw_x5_2008_2100865804
"<img src=""https://42.img.avito.st/208x156/10179670042.jpg"">","BMW X5, 2013","211 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 890 000 ₽,-,"Республика Башкортостан, Уфа",https://www.avito.ru/ufa/avtomobili/bmw_x5_2013_2065378706
"<img src=""https://59.img.avito.st/208x156/5579827959.jpg"">","BMW X5, 2008","245 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",1 300 000 ₽,-,"Тюменская область, Сургут",https://www.avito.ru/surgut/avtomobili/bmw_x5_2008_1442709281
"<img src=""https://12.img.avito.st/208x156/10753300612.jpg"">","BMW X5, 2015","111 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 949 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2015_2124606424
"<img src=""https://84.img.avito.st/208x156/10490793484.jpg"">","BMW X5, 2002","315 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",495 000 ₽,-,"Республика Северная Осетия — Алания, Моздокский р-н, Моздок",https://www.avito.ru/mozdok/avtomobili/bmw_x5_2002_2103678327
"<img src=""https://75.img.avito.st/208x156/10661269475.jpg"">","BMW X5, 2012","110 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 550 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2012_2098113057
"<img src=""https://12.img.avito.st/208x156/10094800012.jpg"">","BMW X5, 2009","209 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",999 999 ₽,-,"Республика Дагестан, Дербент",https://www.avito.ru/derbent/avtomobili/bmw_x5_2009_2014219877
"<img src=""https://11.img.avito.st/208x156/10537296511.jpg"">","BMW X5, 2007","240 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",810 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2007_2083548738
"<img src=""https://35.img.avito.st/208x156/10603053435.jpg"">","BMW X5, 2008","357 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 090 000 ₽,-,"Мурманская область, Мурманск",https://www.avito.ru/murmansk/avtomobili/bmw_x5_2008_2046220241
"<img src=""https://74.img.avito.st/208x156/10590550374.jpg"">","BMW X5, 2008","300 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",1 000 000 ₽,-,"Карачаево-Черкесская Республика, Абазинский р-н, Псыжское сельское поселение, аул Псыж",https://www.avito.ru/psyzh/avtomobili/bmw_x5_2008_2067665798
"<img src=""https://75.img.avito.st/208x156/10772207375.jpg"">","BMW X5, 2008","197 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 050 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2008_2136585627
"<img src=""https://67.img.avito.st/208x156/10190120967.jpg"">","BMW X5, 2003","200 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",520 000 ₽,-,"Брянская область, Брянск",https://www.avito.ru/bryansk/avtomobili/bmw_x5_2003_2056249999
"<img src=""https://66.img.avito.st/208x156/10743852366.jpg"">","BMW X5, 2015","73 900 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 889 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2015_2135680646
"<img src=""https://39.img.avito.st/208x156/10555330239.jpg"">","BMW X5, 2020","13 114 км, 3.0 AT (400 л.с.), внедорожник, полный, дизель",8 799 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2020_2089125086
"<img src=""https://75.img.avito.st/208x156/10698676175.jpg"">","BMW X5, 2008","190 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",999 999 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2008_2112171783
"<img src=""https://12.img.avito.st/208x156/10795604612.jpg"">","BMW X5, 2016","99 994 км, 2.0 AT (218 л.с.), внедорожник, полный, дизель",3 119 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2016_2130758050
"<img src=""https://60.img.avito.st/208x156/10714988560.jpg"">","BMW X5, 2002","Битый, 305 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",310 000 ₽,-,"Ленинградская область, Сосновоборский г.о., Сосновый Бор",https://www.avito.ru/leningradskaya_oblast_sosnovyy_bor/avtomobili/bmw_x5_2002_2108796508
"<img src=""https://60.img.avito.st/208x156/10158579060.jpg"">","BMW X5, 2009","160 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 350 000 ₽,-,"Нижегородская область, Кстовский р-н, сельское поселение Афонинский сельсовет, д. Афонино",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2009_2066056704
"<img src=""https://58.img.avito.st/208x156/10276070558.jpg"">","BMW X5, 2005","Битый100 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",100 000 ₽,-,"Республика Татарстан, Казань",https://www.avito.ru/kazan/avtomobili/bmw_x5_2005_2057519124
"<img src=""https://38.img.avito.st/208x156/10807103638.jpg"">","BMW X5, 2013","78 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",2 100 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2013_2138934811
"<img src=""https://47.img.avito.st/208x156/10829360147.jpg"">","BMW X5, 2019","47 741 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 249 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2019_2124730784
"<img src=""https://19.img.avito.st/208x156/10503240919.jpg"">","BMW X5, 2007","257 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",900 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2106445030
"<img src=""https://04.img.avito.st/208x156/10451071004.jpg"">","BMW X5, 2008","262 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",750 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2008_2089644407
"<img src=""https://36.img.avito.st/208x156/9959913636.jpg"">","BMW X5, 2008","180 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",940 000 ₽,-,"Республика Коми, Ухта",https://www.avito.ru/uhta/avtomobili/bmw_x5_2008_1962447133
"<img src=""https://24.img.avito.st/208x156/10738096924.jpg"">","BMW X5, 2010","170 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 470 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2095555716
"<img src=""https://03.img.avito.st/208x156/10814124403.jpg"">","BMW X5, 2019","43 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 150 000 ₽,-,"Республика Карелия, Петрозаводский г.о., Петрозаводск",https://www.avito.ru/petrozavodsk/avtomobili/bmw_x5_2019_2078856237
"<img src=""https://09.img.avito.st/208x156/10789576909.jpg"">","BMW X5, 2020","18 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 247 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2020_2137478977
"<img src=""https://55.img.avito.st/208x156/10161604055.jpg"">","BMW X5, 2005","146 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",800 000 ₽,-,"Омская область, Омск",https://www.avito.ru/omsk/avtomobili/bmw_x5_2005_2050742426
"<img src=""https://07.img.avito.st/208x156/10272022407.jpg"">","BMW X5, 2012","146 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 700 000 ₽,-,"Краснодарский край, Туапсинский р-н, Туапсинское городское поселение, Туапсе",https://www.avito.ru/tuapse/avtomobili/bmw_x5_2012_2061746380
"<img src=""https://37.img.avito.st/208x156/10540381537.jpg"">","BMW X5, 2003","275 000 км, 3.0 MT (231 л.с.), внедорожник, полный, бензин",680 000 ₽,-,"Иркутская область, Иркутск",https://www.avito.ru/irkutsk/avtomobili/bmw_x5_2003_2111019745
"<img src=""https://59.img.avito.st/208x156/10636136359.jpg"">","BMW X5, 2016","23 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 600 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2016_2099711439
"<img src=""https://69.img.avito.st/208x156/10743221269.jpg"">","BMW X5, 2007","162 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",780 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2007_2131250813
"<img src=""https://60.img.avito.st/208x156/10079687660.jpg"">","BMW X5, 2018","24 500 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 499 999 ₽,-,"Самарская область, Тольятти",https://www.avito.ru/tolyatti/avtomobili/bmw_x5_2018_2061290173
"<img src=""https://64.img.avito.st/208x156/9126256464.jpg"">","BMW X5, 2007","215 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",800 777 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2007_1952747323
"<img src=""https://22.img.avito.st/208x156/10731215622.jpg"">","BMW X5, 2007","240 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",830 000 ₽,-,"Московская область, Клин",https://www.avito.ru/klin/avtomobili/bmw_x5_2007_2112580380
"<img src=""https://06.img.avito.st/208x156/10737150506.jpg"">","BMW X5, 2013","189 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 870 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2013_2115125510
"<img src=""https://48.img.avito.st/208x156/10724836048.jpg"">","BMW X5, 2008","280 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",759 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2008_2139304326
"<img src=""https://96.img.avito.st/208x156/10630951496.jpg"">","BMW X5, 2002","220 000 км, 4.6 AT (347 л.с.), внедорожник, полный, бензин",590 000 ₽,-,"Тюменская область, Тюмень",https://www.avito.ru/tyumen/avtomobili/bmw_x5_2002_2095801495
"<img src=""https://32.img.avito.st/208x156/10005098632.jpg"">","BMW X5, 2004","320 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",620 000 ₽,-,"Краснодарский край, Тихорецкий р-н, Тихорецкое городское поселение, Тихорецк",https://www.avito.ru/tihoretsk/avtomobili/bmw_x5_2004_2058699458
"<img src=""https://90.img.avito.st/208x156/9963763790.jpg"">","BMW X5, 2007","279 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",790 000 ₽,-,"Республика Башкортостан, Янаульский р-н, Янаул",https://www.avito.ru/yanaul/avtomobili/bmw_x5_2007_2045911124
"<img src=""https://08.img.avito.st/208x156/9955729508.jpg"">","BMW X5, 2007","288 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",980 000 ₽,-,"Московская область, Электросталь",https://www.avito.ru/elektrostal/avtomobili/bmw_x5_2007_2019040903
"<img src=""https://10.img.avito.st/208x156/9847134910.jpg"">","BMW X5, 2007","157 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",700 000 ₽,-,"Краснодарский край, Абинский р-н, Абинск",https://www.avito.ru/abinsk/avtomobili/bmw_x5_2007_2045301178
"<img src=""https://74.img.avito.st/208x156/10562196074.jpg"">","BMW X5, 2004","259 920 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",685 000 ₽,-,"Калининградская область, Озёрский муниципальный округ, Озёрск",https://www.avito.ru/kaliningradskaya_oblast_ozersk/avtomobili/bmw_x5_2004_2098827095
"<img src=""https://80.img.avito.st/208x156/9946177580.jpg"">","BMW X5, 2010","155 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",1 200 000 ₽,-,"Белгородская область, Старооскольский г.о., Старый Оскол",https://www.avito.ru/staryy_oskol/avtomobili/bmw_x5_2010_2046992620
"<img src=""https://08.img.avito.st/208x156/10115888308.jpg"">","BMW X5, 2015","90 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 150 000 ₽,-,"Алтайский край, Барнаул",https://www.avito.ru/barnaul/avtomobili/bmw_x5_2015_2053744177
"<img src=""https://30.img.avito.st/208x156/10421607730.jpg"">","BMW X5, 2003","296 223 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",420 000 ₽,-,"Ставропольский край, г.о. Железноводск, пос. городского типа Иноземцево",https://www.avito.ru/inozemtsevo_kp/avtomobili/bmw_x5_2003_2098767398
"<img src=""https://90.img.avito.st/208x156/10732936790.jpg"">","BMW X5, 2008","260 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",830 000 ₽,-,"Ярославская область, Ярославль",https://www.avito.ru/yaroslavl/avtomobili/bmw_x5_2008_2131066729
"<img src=""https://00.img.avito.st/208x156/10671236400.jpg"">","BMW X5, 2006","Битый, 300 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",300 000 ₽,-,"Республика Дагестан, Хасавюрт",https://www.avito.ru/hasavyurt/avtomobili/bmw_x5_2006_2122887734
"<img src=""https://40.img.avito.st/208x156/10822706040.jpg"">","BMW X5, 2001","336 500 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",425 200 ₽,-,"Нижегородская область, Кулебаки",https://www.avito.ru/kulebaki/avtomobili/bmw_x5_2001_2130486598
"<img src=""https://32.img.avito.st/208x156/10356111932.jpg"">","BMW X5, 2003","200 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",670 000 ₽,-,"Московская область, Подольск",https://www.avito.ru/podolsk/avtomobili/bmw_x5_2003_2060114934
"<img src=""https://91.img.avito.st/208x156/8044335391.jpg"">","BMW X5, 2005","250 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",680 000 ₽,-,"Воронежская область, Павловский р-н, Павловск",https://www.avito.ru/voronezhskaya_oblast_pavlovsk/avtomobili/bmw_x5_2005_1875541833
"<img src=""https://65.img.avito.st/208x156/10208377565.jpg"">","BMW X5, 2004","127 116 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",525 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2004_2069117362
"<img src=""https://77.img.avito.st/208x156/9302791277.jpg"">","BMW X5, 2004","395 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",810 000 ₽,-,"Вологодская область, Кадуйский р-н, рабочий пос. Кадуй",https://www.avito.ru/kaduy/avtomobili/bmw_x5_2004_2011033919
"<img src=""https://94.img.avito.st/208x156/10715694194.jpg"">","BMW X5, 2003","267 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",395 000 ₽,-,"Орловская область, Орёл",https://www.avito.ru/orel/avtomobili/bmw_x5_2003_1928388601
"<img src=""https://41.img.avito.st/208x156/9767059641.jpg"">","BMW X5, 2009","163 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",1 390 000 ₽,-,"Красноярский край, Красноярск",https://www.avito.ru/krasnoyarsk/avtomobili/bmw_x5_2009_2030981756
"<img src=""https://46.img.avito.st/208x156/10579807846.jpg"">","BMW X5, 2007","237 260 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",835 000 ₽,-,"Республика Татарстан, Бугульминский р-н, Бугульма",https://www.avito.ru/bugulma/avtomobili/bmw_x5_2007_2078537814
"<img src=""https://86.img.avito.st/208x156/10497340686.jpg"">","BMW X5, 2004","182 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",455 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2004_2094540889
"<img src=""https://64.img.avito.st/208x156/10724194764.jpg"">","BMW X5, 2020","18 100 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",7 700 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2106602980
"<img src=""https://19.img.avito.st/208x156/10775733919.jpg"">","BMW X5, 2017","86 400 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",4 098 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2017_2122730489
"<img src=""https://90.img.avito.st/208x156/8910552090.jpg"">","BMW X5, 2007","291 050 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",850 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_1961194599
"<img src=""https://73.img.avito.st/208x156/10747359873.jpg"">","BMW X5, 2007","280 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",880 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2086193051
"<img src=""https://84.img.avito.st/208x156/9926555084.jpg"">","BMW X5, 2009","210 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",990 000 ₽,-,"Республика Башкортостан, Уфа",https://www.avito.ru/ufa/avtomobili/bmw_x5_2009_2029606913
"<img src=""https://43.img.avito.st/208x156/10738285243.jpg"">","BMW X5, 2013","170 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 675 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2013_2109220810
"<img src=""https://86.img.avito.st/208x156/10787648986.jpg"">","BMW X5, 2017","82 229 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 949 000 ₽,-,"Ленинградская область, Всеволожский р-н, Заневское городское поселение, Кудрово",https://www.avito.ru/kudrovo/avtomobili/bmw_x5_2017_2116505902
"<img src=""https://58.img.avito.st/208x156/10801720858.jpg"">","BMW X5, 2016","91 954 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 549 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2016_1987594197
"<img src=""https://37.img.avito.st/208x156/10747324737.jpg"">","BMW X5, 2000","370 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",470 000 ₽,-,"Республика Крым, Евпатория",https://www.avito.ru/evpatoriya/avtomobili/bmw_x5_2000_2095428120
"<img src=""https://78.img.avito.st/208x156/10815052178.jpg"">","BMW X5, 2008","293 900 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",1 095 000 ₽,-,"Самарская область, Тольятти",https://www.avito.ru/tolyatti/avtomobili/bmw_x5_2008_2115464179
"<img src=""https://56.img.avito.st/208x156/10786593456.jpg"">","BMW X5, 2005","210 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",900 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2005_2123263612
"<img src=""https://67.img.avito.st/208x156/10774037067.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 793 425 ₽,-,"Калининградская область, Калининград",https://www.avito.ru/kaliningrad/avtomobili/bmw_x5_2021_2121976722
"<img src=""https://11.img.avito.st/208x156/10776355311.jpg"">","BMW X5, 2011","167 000 км, 3.0 AT (306 л.с.), внедорожник, полный, дизель",1 699 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2011_2111276101
"<img src=""https://53.img.avito.st/208x156/10738661953.jpg"">","BMW X5, 2020","12 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 490 000 ₽,-,"Московская область, Одинцовский г.о., д. Раздоры",https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2115248076
"<img src=""https://04.img.avito.st/208x156/10729485904.jpg"">","BMW X5, 2012","161 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 595 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2012_2116567879
"<img src=""https://91.img.avito.st/208x156/9951131291.jpg"">","BMW X5, 2008","220 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2008_2028766324
"<img src=""https://95.img.avito.st/208x156/5428274395.jpg"">","BMW X5, 2010","222 222 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 210 000 ₽,-,"Московская область, Пушкинский г.о., Пушкино",https://www.avito.ru/pushkino/avtomobili/bmw_x5_2010_1403947906
"<img src=""https://98.img.avito.st/208x156/10779447398.jpg"">","BMW X5, 2010","139 900 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2010_2046131303
"<img src=""https://66.img.avito.st/208x156/10796036866.jpg"">","BMW X5, 2007","153 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",640 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2119815889
"<img src=""https://39.img.avito.st/208x156/10782820239.jpg"">","BMW X5, 2020","4 655 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 850 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2139202248
"<img src=""https://24.img.avito.st/208x156/10407842224.jpg"">","BMW X5, 2020","15 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 150 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2105468593
"<img src=""https://06.img.avito.st/208x156/8226637206.jpg"">","BMW X5, 2009","213 000 км, AT (231 л.с.), внедорожник, полный, дизель",1 300 000 ₽,-,"Московская область, Щёлково",https://www.avito.ru/schelkovo/avtomobili/bmw_x5_2009_1889547301
"<img src=""https://40.img.avito.st/208x156/10684447440.jpg"">","BMW X5, 2001","313 235 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",350 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2001_2085676470
"<img src=""https://03.img.avito.st/208x156/10814124403.jpg"">","BMW X5, 2019","43 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 150 000 ₽,-,"Республика Карелия, Петрозаводский г.о., Петрозаводск",https://www.avito.ru/petrozavodsk/avtomobili/bmw_x5_2019_2078856237
"<img src=""https://95.img.avito.st/208x156/10278497795.jpg"">","BMW X5, 2011","220 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 150 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2011_2065669615
"<img src=""https://17.img.avito.st/208x156/10695925617.jpg"">","BMW X5, 2016","86 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 550 000 ₽,-,"Республика Коми, Сыктывкар",https://www.avito.ru/syktyvkar/avtomobili/bmw_x5_2016_2102767645
"<img src=""https://33.img.avito.st/208x156/10534412333.jpg"">","BMW X5, 2005","338 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",800 000 ₽,-,"Карачаево-Черкесская Республика, Ногайский р-н, аул Икон-Халк",https://www.avito.ru/ikon-halk/avtomobili/bmw_x5_2005_2099734534
"<img src=""https://20.img.avito.st/208x156/10597275920.jpg"">","BMW X5, 2004","10 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",695 000 ₽,-,"Алтайский край, Барнаул",https://www.avito.ru/barnaul/avtomobili/bmw_x5_2004_2046430596
"<img src=""https://15.img.avito.st/208x156/10084223315.jpg"">","BMW X5, 2016","116 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 750 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2016_2037093423
